# События режима «Кто раньше». Источник — хронологическая таблица владельца
# (message (1).txt, 23.09.2026), вычищенная вручную. Сборка: node tools-and-docs/build-order-data.js
#
# Строка: ДАТА [@ПОДПИСЬ] | ТЕКСТ
#   ДАТА — Г, Г.М или Г.М.Д; интервал через «-»: 1905-1907, 1941.06.22-1945.05.09.
#   @ПОДПИСЬ — как показать дату, если по ДАТЕ её не собрать («IX век», «907, 911»).
#
# 🔴 В тексте НЕ должно быть года: игрок видит текст до ответа. Поэтому
#    «Отечественная война 1812 года» здесь «Отечественная война с Наполеоном».
# 🔴 Интервал — это правда о длительности. Пара, чьи интервалы пересекаются,
#    в игру не попадает никогда: «Северная война» и «Полтавская битва» несравнимы.
#    Сомневаешься в границах — ставь ШИРЕ: лишний запрет безопасен, ложный ответ нет.
#
# Исправлено против исходника: дубли (Туркманчай, русско-турецкая 1828–1829,
# Беловежские соглашения); гибель Грибоедова убрана из Туркманчайского мира (1829,
# а не 1828); Калиакрия — 1791; университетский устав — 1804; первая кругосветка —
# 1803–1806; Фёдор Иоаннович — 1584–1598; Лжедмитрий I — 1605–1606; Прутский
# поход — 1711; Первая мировая — до 11 ноября 1918; Гражданская война — 1918–1922;
# Транссиб — 1891–1916; франко-русский союз — 1891–1894; разорванные строки собраны.

800-899 @IX век | Образование Древнерусского государства
862 | «Призвание варягов» на Русь
862-879 | Княжение Рюрика в Новгороде
879-912 | Княжение Олега
882 | Объединение Новгорода и Киева под властью князя Олега
907-911 @907, 911 | Походы Олега на Царьград. Договоры с греками
912-945 | Княжение Игоря в Киеве
945 | Восстание древлян
945-962 | Правление княгини Ольги в малолетство Святослава
957 | Крещение княгини Ольги в Константинополе
962-972 | Княжение Святослава Игоревича
964-972 | Военные походы князя Святослава
980-1015 | Княжение Владимира I Святославича
988 | Принятие христианства на Руси
1019-1054 | Княжение Ярослава Мудрого
1037 | Начало строительства Софийского собора в Киеве
1045 | Начало строительства Софийского собора в Новгороде
1072 @около 1072 | Оформление «Правды Ярославичей»
1097 | Съезд князей в Любече
1113-1125 | Великое княжение Владимира Мономаха
1125-1157 | Княжение Юрия Долгорукого в Ростово-Суздальской земле
1136 | Установление республики в Новгороде
1147 | Первое упоминание о Москве в летописи
1157-1174 | Княжение Андрея Боголюбского
1165 | Постройка храма Покрова на Нерли
1185 | Поход князя Игоря Новгород-Северского на половцев («Слово о полку Игореве»)
1199 | Объединение Волынского и Галицкого княжеств
1202 | Образование Ордена меченосцев
1223.05.31 | Битва на реке Калке
1237-1240 | Нашествие Батыя на Русь
1237 | Образование Ливонского ордена
1238.03.04 | Битва на реке Сити
1240.07.15 | Невская битва
1240 | Разгром монголо-татарами Киева
1242.04.05 | Ледовое побоище
1243 | Образование Золотой Орды
1252-1263 | Великое княжение Александра Невского во Владимире
1264 | Распад Галицко-Волынского княжества
1276 | Образование самостоятельного Московского княжества
